,loc,scale,expectation,cv
1179965,-2.0923696,0.4750503,0.1381337,0.6120973
1181465,-2.0070438,0.4667367,0.14984973,0.687879
1186834,-2.0155816,0.5730072,0.15701514,0.47821295
1187361,-2.0991147,0.47413138,0.1371453,0.6100754
1189254,-2.030087,0.5037332,0.14908877,0.5875485
1197087,-2.047155,0.5174897,0.14759885,0.5511624
1198144,-2.0320718,0.501287,0.14861035,0.591393
1206960,-2.1039953,0.4882766,0.1374097,0.576349
1209056,-2.066603,0.52718335,0.1454909,0.5234949
1209303,-2.0546308,0.48350874,0.14402902,0.616086
1209919,-1.9801657,0.5217502,0.15817487,0.58104825
1211803,-2.0639486,0.53546417,0.14652082,0.5110207
1221451,-2.0199952,0.46743786,0.14796995,0.6772137
1225482,-2.0599372,0.55899984,0.14901672,0.47688282
1227715,-2.0738707,0.45391715,0.13933834,0.6762659
1229975,-2.0023649,0.48964998,0.15221119,0.6348558
1236943,-2.0932922,0.5275736,0.14168836,0.50905895
1238340,-2.0562036,0.5216741,0.14658765,0.5386403
1244522,-2.029116,0.5431458,0.15234429,0.51640844
1251139,-2.0034046,0.5276733,0.1550225,0.5567555
1258948,-2.0900643,0.53931147,0.1430393,0.49178588
1265292,-2.0341446,0.52237034,0.14991164,0.5493869
1271436,-2.0960484,0.4750099,0.13762382,0.60994166
1279603,-2.0029633,0.5171525,0.15424086,0.57671624
1280686,-2.1215808,0.47947046,0.13444032,0.5847979
1284898,-2.0552824,0.5054142,0.14550272,0.5696082
1288427,-2.008656,0.48055768,0.15059093,0.6520904
1294427,-2.082954,0.51179093,0.14199139,0.5420968
1296945,-2.047908,0.43868014,0.14203413,0.73806864
1303423,-2.0744581,0.49618283,0.1420808,0.5771011
1312313,-2.1074677,0.5190299,0.13907085,0.51623964
1323354,-2.0151808,0.5300065,0.15339679,0.54607695
1324098,-2.0317357,0.55054367,0.15256165,0.5033405
1335968,-2.0783162,0.54056937,0.14482799,0.49562097
1340568,-2.0658562,0.5228881,0.14527158,0.5313285
1347693,-2.0242345,0.48856553,0.14883956,0.6235521
1349798,-2.0358129,0.48911467,0.14716569,0.6151559
1354131,-2.0603852,0.48914707,0.14359581,0.6001543
1355758,-2.1112885,0.47617662,0.13561755,0.59810823
1360100,-2.018809,0.47031814,0.14834575,0.6706434
1369389,-1.984315,0.51011753,0.15657735,0.60171163
1375626,-2.058867,0.45048583,0.14122538,0.69590586
1377871,-2.081951,0.5231936,0.14297505,0.52231854
1378919,-2.0042362,0.4867013,0.15170808,0.6404477
1384244,-2.031754,0.4744962,0.14672713,0.65169585
1392264,-2.0045233,0.52528405,0.1546545,0.56049806
1394466,-2.0221953,0.51498646,0.15113379,0.56986237
1396609,-2.023694,0.5337508,0.15239964,0.53494227
1397638,-2.1112278,0.5346852,0.13969642,0.48863995
1398579,-2.0718167,0.4986626,0.14263241,0.57359403
1402061,-1.9794809,0.50638807,0.15703818,0.61240447
1402646,-2.0486696,0.491372,0.14544658,0.6023969
1406922,-2.105215,0.46685833,0.13584556,0.6232686
1407152,-2.06897,0.4926564,0.14261383,0.5875886
1417557,-2.0624552,0.532664,0.14652053,0.5164066
